cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,copy_player,starting_distance_network,network_distance,clique_1_distance,clique_2_distance,clique_3_distance,clique_4_distance,clique_5_distance
5.0,115.0,10.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.4186654498338664,0.785656752547901,0.6102916814183204,0.5895950305567874,0.6422926667037754,0.6181373177431716,0.6218730659719937
5.0,116.0,5.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.432288101371287,0.7320078101506078,0.6158695230907822,0.6371509812166358,0.6426361432552147,0.5907942821679093,0.6091868662743803
5.0,117.0,10.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.3554055245028866,0.8294964872240103,0.5919431687662089,0.6309907539023336,0.6498364477566646,0.643360279202732,0.5746814961322559
5.0,118.0,8.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.437936482967557,0.7512936199728653,0.634043956916413,0.641493943793376,0.5918679923196932,0.5759149592266406,0.617888798970212
5.0,119.0,8.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.4064118569426647,0.8099288421458913,0.581801320194718,0.5981974539600274,0.6390287413509707,0.5908377731580997,0.6317065988204197
5.0,120.0,8.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.402718272760944,0.7992798570297354,0.5858180214914638,0.6257473402339864,0.6056939675505997,0.627202257804261,0.5809960331903271
5.0,121.0,7.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.4100935929563985,0.771606226591979,0.6267420533781377,0.5969928350857054,0.59923078067193,0.619741852770255,0.5958966640577348
5.0,122.0,5.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.3859507765627423,0.718559832332918,0.6026303626863777,0.593766536117717,0.6149280622694577,0.6196130075850446,0.6003789069874543
5.0,123.0,8.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.4355005566852777,0.8236632175237081,0.5666949501175209,0.6177288860708708,0.6134411247921431,0.630963670113109,0.6224313045414104
5.0,124.0,5.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.433569424884837,0.6756684731213982,0.6209039748534578,0.5813914699080005,0.6118747235527209,0.5976795041756647,0.6038789265089171
5.0,125.0,10.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.405127424857038,0.7905803419647547,0.5685448085298944,0.6358703497204294,0.6398112085256895,0.6396013846598885,0.6135081433902365
5.0,126.0,9.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.3760407000860035,0.8302394259957308,0.6108271144130045,0.5887453448368747,0.6614723324086448,0.6360765706754103,0.6271114103452698
5.0,127.0,6.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.4005162691732145,0.7482402116934026,0.6129310031584007,0.5986540676461478,0.6306803300963172,0.6158797447890931,0.6411862460239489
5.0,128.0,7.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.41026969750687,0.7684655621973339,0.6169257503411846,0.6249361042411126,0.6423764571825326,0.6185738883090244,0.6534471266936343
